tconst,watched,priority,netflix,prime
tt10638522,1,0,,
tt10640346,1,0,,
tt10648342,0,0,,
tt1067106,1,0,,
tt1068680,1,0,,
tt10767052,0,0,,
tt1077368,1,0,,
tt10838180,1,0,0,0
tt1086064,0,0,0,0
tt10872600,0,0,,
tt1092026,1,0,,
tt10954984,1,0,,
tt10999120,0,1,1,0
tt11000902,0,0,0,0
tt11003218,1,0,,
tt11040762,1,0,,
tt11083552,0,0,0,1
tt1111422,1,0,,
tt11138512,1,0,,
tt11193002,1,0,,
tt1119646,1,0,,
tt11204094,1,0,,
tt11210390,0,0,,
tt11214590,1,0,0,0
tt11286314,1,0,1,
tt11291274,1,0,,
tt1130884,1,0,,
tt11358390,0,0,,
tt1136617,0,1,1,
tt1156398,1,0,,
tt11564570,1,0,,
tt1160419,1,0,,
tt11655202,1,0,0,0
tt11680468,0,1,,
tt1170358,1,0,,
tt1185616,0,0,0,0
tt11858890,1,0,,
tt1187043,0,0,,
tt11908172,0,0,,
tt1192628,1,0,,
tt12003946,0,0,0,0
tt12037194,1,0,,
tt1205489,1,0,,
tt1210166,1,0,,
tt1212450,1,0,,
tt12175526,0,0,,
tt1220719,0,0,0,0
tt1222817,1,0,,
tt12261776,1,0,,
tt1226229,1,0,,
tt1228705,1,0,,
tt1229238,1,0,,
tt1229340,1,0,,
tt12299608,1,0,,
tt1231583,1,0,,
tt1232829,1,0,,
tt1234548,1,0,,
tt12404266,0,0,,
tt1240982,1,0,,
tt1243957,1,0,,
tt12477480,0,0,0,0
tt1250777,1,0,,
tt1251725,1,0,,
tt1255953,1,0,,
tt12593682,1,0,,
tt1270797,1,0,,
tt12724306,0,0,,
tt1272878,1,0,,
tt1276104,1,0,,
tt12789558,0,0,0,0
tt12792418,0,0,1,0
tt1293847,0,0,0,0
tt1298650,1,0,,
tt1300854,1,0,,
tt1302006,0,0,1,0
tt13055264,0,0,,
tt13055982,0,0,,
tt13097932,0,0,,
tt13110998,1,0,,
tt1315981,1,0,,1
tt1318514,1,0,,
tt1318517,1,0,,
tt13231544,0,0,,
tt1323594,1,0,,
tt13238346,1,0,,
tt13287846,1,1,,
tt13314558,0,0,1,0
tt13320622,0,0,,
tt13320662,0,0,1,0
tt1340138,1,0,,
tt1340800,1,0,,
tt13429870,0,0,,
tt1343092,1,0,,
tt1345836,1,0,,
tt13479592,1,0,1,0
tt13521006,1,0,,
tt13560574,1,0,,
tt1361336,0,0,0,0
tt13622118,1,0,,
tt13640670,1,0,1,
tt1365050,1,0,1,
tt13651794,1,0,,
tt13655120,0,1,,
tt1375666,1,0,,
tt1375670,1,0,,
tt13822738,0,0,1,0
tt13849558,0,1,,
tt1386697,1,0,,
tt1390411,1,0,,
tt1392170,1,0,,
tt1392190,1,0,,
tt1392214,1,0,,
tt1396218,1,0,,
tt14030816,0,0,,
tt14039582,1,0,,
tt14099796,0,0,,
tt1410261,1,0,,
tt1411697,1,0,,
tt14137416,1,0,,
tt14209916,1,1,0,0
tt14230388,1,0,,
tt14230458,1,0,,
tt14260836,1,0,,
tt14308636,0,0,,
tt1431045,1,0,,
tt14315584,0,0,1,0
tt14321668,1,0,,
tt14379088,0,1,,
tt14402146,0,1,,
tt14509110,0,1,,
tt14539740,0,0,,
tt1462764,1,0,,
tt14636170,1,1,,
tt14641788,1,0,,
tt1464335,1,0,,
tt1465522,1,0,,
tt14668630,0,0,0,0
tt1477834,1,0,,
tt14781036,1,0,,
tt1478964,0,0,,
tt14824600,0,0,,
